Id Label Weight
高栋 高栋 1
池生生 池生生 1
南有启 南有启 1
南辕北辙 南辕北辙 4
高峰 高峰 1
宣徽院 宣徽院 4
麻巾 麻巾 1
萨满 萨满 1
砰砰 砰砰 3
觉察到 觉察到 8
保持沉默 保持沉默 1
井亭 井亭 3
黄杨 黄杨 1
墨汁 墨汁 2
黄羊 黄羊 2
毋宁 毋宁 2
墨砚 墨砚 1
寄希望于 寄希望于 3
朱笔 朱笔 1
左金吾 左金吾 1
卫将军 卫将军 6
修正 修正 2
老江湖 老江湖 2
矫健 矫健 6
扬言 扬言 1
双耳 双耳 1
闻一闻 闻一闻 1
越聚越 越聚越 2
从启夏 从启夏 1
冷清 冷清 1
王八蛋 王八蛋 4
采取任何 采取任何 1
慈恩寺 慈恩寺 3
和尚 和尚 5
延喜门 延喜门 1
大明宫 大明宫 11
齐全 齐全 1
多时辰 多时辰 2
靖恭坊 靖恭坊 7
宁公主 宁公主 1
杨慎 杨慎 1
赫赫有名 赫赫有名 1
鞠丸 鞠丸 3
高擎 高擎 1
金福丸 金福丸 1
金龙登云 金龙登云 1
平顺 平顺 2
铛铛 铛铛 2
永王 永王 150
闻家之 闻家之 1
王妃 王妃 4
元载 元载 484
鄂尔浑 鄂尔浑 1
花罗 花罗 5
松树 松树 1
哈欠 哈欠 3
申初 申初 8
易燃 易燃 3
司传文 司传文 1
唐韵 唐韵 6
花招 花招 1
真是太 真是太 2
金光 金光 6
原谅 原谅 2
大雁塔 大雁塔 5
小沙弥 小沙弥 2
普济寺 普济寺 1
安邑坊 安邑坊 1
公孙大娘 公孙大娘 1
阿婆 阿婆 1
孙女 孙女 2
麻木 麻木 2
崔尉 崔尉 7
昌明 昌明 39
林子 林子 2
林子里 林子里 3
雨塘 雨塘 1
厉芒 厉芒 1
今天上午 今天上午 1
闻无忌 闻无忌 57
北风吹 北风吹 1
余裕 余裕 5
白刃战 白刃战 1
那串 那串 3
小喽啰 小喽啰 1
老君 老君 1
高宗 高宗 2
干藤顺 干藤顺 1
干藤 干藤 1
龙虎 龙虎 1
雷当 雷当 1
陈年 陈年 3
金玉 金玉 1
西归义 西归义 1
向西疾 向西疾 1
西移 西移 1
司中 司中 6
雷一炸 雷一炸 2
周转 周转 1
明白人 明白人 1
木轸 木轸 1
小旗 小旗 3
延福 延福 1
折回来 折回来 1
马嘶鸣 马嘶鸣 1
何曾 何曾 6
那狼卫 那狼卫 1
光德 光德 4
高明 高明 11
熊熊 熊熊 10
万幸 万幸 3
甘梅 甘梅 1
西三面 西三面 1
蘸上 蘸上 1
拉圆 拉圆 1
弓弦 弓弦 7
小敬 小敬 1
冷一笑 冷一笑 1
和光德 和光德 1
左耳 左耳 1
东一西 东一西 1
左前方 左前方 1
马向西 马向西 1
雷能 雷能 1
居德 居德 1
薄冰 薄冰 3
司和右 司和右 1
小庙 小庙 1
小舟 小舟 2
水克火 水克火 1
司来 司来 1
幸存者 幸存者 9
伽蓝 伽蓝 1
祝贺 祝贺 1
布巾 布巾 2
远远不够 远远不够 1
申正 申正 7
耿直 耿直 2
维持秩序 维持秩序 2
那可真 那可真 3
但狼卫 但狼卫 1
了光德 了光德 1
越权 越权 3
公开化 公开化 1
盛世 盛世 11
屈才 屈才 1
那公子 那公子 2
于阗国 于阗国 1
兰室 兰室 1
士林 士林 1
望之 望之 1
古冢 古冢 1
汉贤 汉贤 1
董仲舒 董仲舒 1
封兄 封兄 3
紫红 紫红 1
官居 官居 1
虞部 虞部 8
太宗朝 太宗朝 1
周折 周折 3
阎王 阎王 1
郎官清 郎官清 1
宣平坊 宣平坊 4
严令 严令 2
高隆 高隆 1
贺东 贺东 21
贺曾 贺曾 1
贺府 贺府 4
和光同尘 和光同尘 1
白皙 白皙 5
巨岩 巨岩 1
诸门 诸门 3
西沉 西沉 1
卫里 卫里 1
银光闪闪 银光闪闪 1
连门籍 连门籍 1
玉佩 玉佩 7
李花 李花 6
白玉 白玉 2
赵七郎 赵七郎 2
连右相 连右相 1
和本卫 和本卫 1
容颜 容颜 1
陈腐 陈腐 1
段时间 段时间 3
甘守诚 甘守诚 55
塞进 塞进 9
花钿 花钿 4
翠鸟 翠鸟 1
朴素 朴素 2
凡夫俗子 凡夫俗子 1
门第 门第 2
令尊 令尊 2
老公 老公 1
大将军 大将军 5
仁恕 仁恕 1
施以援 施以援 1
黑帮 黑帮 1
封兄莫 封兄莫 1
老徐 老徐 3
常法寺 常法寺 1
胜光寺 胜光寺 1
高祖 高祖 3
钟楼 钟楼 2
大雄宝殿 大雄宝殿 1
林后 林后 1
伍子胥 伍子胥 1
连右骁卫 连右骁卫 1
卢舍那 卢舍那 1
双刃剑 双刃剑 1
鲁莽 鲁莽 1
雷霆之怒 雷霆之怒 1
凤毛麟角 凤毛麟角 1
明耀 明耀 1
松明 松明 2
荣誉 荣誉 2
那明明 那明明 1
老文吏 老文吏 1
辟谷 辟谷 1
操之 操之 1
和摩尼 和摩尼 1
于景寺 于景寺 1
景僧 景僧 25
景寺 景寺 13
西邻 西邻 1
朱砂 朱砂 1
勾勾 勾勾 1
太宗皇帝 太宗皇帝 1
胡寺 胡寺 1
太仓促 太仓促 1
布政 布政 1
延康 延康 1
顾道 顾道 1
毛发 毛发 1
不分轩轾 不分轩轾 1
迟早会 迟早会 2
从狼卫 从狼卫 1
王小姐 王小姐 5
龙蟠 龙蟠 1
余长 余长 1
向北走 向北走 1
胡籍 胡籍 1
金甲神 金甲神 2
寻师 寻师 1
粟特 粟特 3
满怀 满怀 3
伊斯 伊斯 245
紫髯 紫髯 1
左肩别 左肩别 1
比景僧 比景僧 1
宝石 宝石 6
唐音 唐音 1
祝颂 祝颂 1
慕道若 慕道若 1
秦寺 秦寺 5
景寺殿 景寺殿 1
戴棘冠 戴棘冠 1
景尊弥 景尊弥 1
施诃 施诃 1
景尊 景尊 5
贤伉俪 贤伉俪 2
慕道 慕道 2
蒙混 蒙混 2
胡吏 胡吏 2
司后 司后 3
独栋 独栋 1
诸如 诸如 2
宫禁 宫禁 1
明烛 明烛 1
老庞 老庞 1
单查 单查 1
凤阁 凤阁 8
紫光 紫光 2
满清水 满清水 1
但小姚 但小姚 1
司真 司真 1
花园里 花园里 2
天灵盖 天灵盖 3
智慧 智慧 1
秋水 秋水 2
弘法 弘法 1
陈设 陈设 2
内盛 内盛 1
那景僧 那景僧 1
波斯王子 波斯王子 4
永思厥 永思厥 1
寒霜 寒霜 1
静祈 静祈 1
子嗣 子嗣 2
静祈室 静祈室 1
蓝白 蓝白 1
小巷子 小巷子 2
小铁锤 小铁锤 1
乌青 乌青 2
曼妙 曼妙 4
明察秋毫 明察秋毫 1
孟子 孟子 1
雅驯 雅驯 1
通信兵 通信兵 5
盖印 盖印 1
黑澄澄 黑澄澄 1
卫戍 卫戍 2
唐律 唐律 2
蓬莱 蓬莱 1
绿柏 绿柏 1
安保 安保 3
花太多 花太多 2
曲直 曲直 1
左肩 左肩 5
仰天 仰天 1
青亮 青亮 1
地舒 地舒 1
向全城 向全城 1
荣焉 荣焉 1
周利贞 周利贞 3
武三思 武三思 2
桓彦范 桓彦范 2
映竹 映竹 2
周兴 周兴 2
郝象贤 郝象贤 1
来俊臣 来俊臣 5
木几 木几 1
折冲府 折冲府 2
鞠一躬 鞠一躬 1
范阳 范阳 2
平卢 平卢 7
映亮 映亮 2
司将 司将 1
池中 池中 1
诸军 诸军 4
万军 万军 1
胡笳 胡笳 3
紫髯绿 紫髯绿 1
曲犹 曲犹 1
封信 封信 5
干政之 干政之 1
高潮 高潮 3
严训 严训 1
信三夷 信三夷 1
了光禄 了光禄 1
徐行 徐行 1
齐声 齐声 3
向南 向南 1
陶陶然 陶陶然 2
通达 通达 1
光禄坊 光禄坊 1
苏醒过来 苏醒过来 2
子里 子里 2
生祠 生祠 1
苟且 苟且 1
司丞有 司丞有 1
郎君 郎君 4
侍御史 侍御史 10
吉温 吉温 106
唐六典 唐六典 1
宿宵 宿宵 1
蒲博 蒲博 1
咸举 咸举 1
左巡知 左巡知 1
洛二州 洛二州 1
左巡 左巡 2
官威 官威 1
胡髯 胡髯 2
司为 司为 2
大悦 大悦 1
司丞后 司丞后 1
查明 查明 4
边微微 边微微 1
苏合香 苏合香 3
苍瓦 苍瓦 1
熊有虎 熊有虎 1
刘记 刘记 3
从小孔 从小孔 1
春江 春江 1
白云 白云 1
阴恻恻 阴恻恻 2
老东西 老东西 2
吉司丞 吉司丞 11
阿郎 阿郎 1
宣阳 宣阳 1
司丞之 司丞之 1
权衡再三 权衡再三 1
马从 马从 1
熊熊大火 熊熊大火 1
妙棋 妙棋 1
修大 修大 1
修复者 修复者 1
立亭 立亭 1
司右 司右 1
格斗 格斗 3
司尽毁 司尽毁 1
汤汁 汤汁 1
胡椒 胡椒 3
明星 明星 1
天亮 天亮 3
金桃 金桃 1
檀木 檀木 2
连井阑 连井阑 1
宝钿 宝钿 1
紫藤 紫藤 1
巨龙 巨龙 1
伏尸 伏尸 1
雷有 雷有 2
白昼 白昼 3
齐聚 齐聚 1
雨亭 雨亭 3
巧思 巧思 2
伏设 伏设 1
雷冲阵 雷冲阵 1
金甲 金甲 2
孔雀 孔雀 2
梁顶柜 梁顶柜 1
如飞霞 如飞霞 1
老赵 老赵 15
燕子 燕子 1
白布 白布 1
那时快 那时快 1
陈米 陈米 1
屠宰 屠宰 1
阿爷 阿爷 1
太棒了 太棒了 1
司甫立 司甫立 1
成大功 成大功 1
胡子 胡子 1
何方神圣 何方神圣 1
道谢 道谢 2
谢谢 谢谢 4
匡世 匡世 1
何谢 何谢 1
巨盾 巨盾 1
小鹿 小鹿 1
小错 小错 1
才华 才华 1
管仲 管仲 2
祖师爷 祖师爷 1
鱼肠 鱼肠 117
真真正正 真真正正 1
满盈 满盈 1
莫多言 莫多言 1
瓦边 瓦边 1
伯仲之间 伯仲之间 1
司才成 司才成 1
全操 全操 1
高宗之 高宗之 1
诸城 诸城 1
侍神方 侍神方 1
石阶 石阶 3
贺喜 贺喜 2
司丞可 司丞可 3
羽化登仙 羽化登仙 1
太子妃 太子妃 2
韦氏 韦氏 6
齐聚勤 齐聚勤 1
英俊 英俊 1
胡令 胡令 2
干云 干云 1
司连 司连 1
柏树 柏树 1
苗子 苗子 1
张洛 张洛 20
成倍增加 成倍增加 1
虞吏 虞吏 2
郎中 郎中 1
仁德 仁德 5
福缘 福缘 2
司从 司从 1
玉石 玉石 2
库中 库中 1
于今 于今 1
永嘉 永嘉 1
大修 大修 1
宫阙 宫阙 3
北为殿 北为殿 1
娄子 娄子 1
周旋 周旋 1
司能 司能 1
孤儿 孤儿 1
如云 如云 2
诸臣 诸臣 1
燕弁 燕弁 1
黄冠 黄冠 2
双眉 双眉 1
生辉 生辉 1
太真 太真 98
子初 子初 5
权衡 权衡 1
那青衫 那青衫 1
司时 司时 1
卫尉 卫尉 2
晁衡 晁衡 4
里若 里若 1
那龙 那龙 1
寿星 寿星 1
巧匠 巧匠 2
晁府 晁府 1
小山 小山 1
黄砖 黄砖 1
泰半 泰半 2
林氏 林氏 1
梁接柱 梁接柱 1
毛顺 毛顺 130
武周 武周 1
丹青 丹青 1
梁王 梁王 1
巴结 巴结 1
武后 武后 2
太上玄 太上玄 71
光耀 光耀 2
楼太高 楼太高 1
龙武军 龙武军 74
高武 高武 1
尤崇老聃 尤崇老聃 1
师承 师承 1
伍长 伍长 13
张主 张主 2
伍长一 伍长一 3
须有虞 须有虞 1
毛监 毛监 2
山羊胡子 山羊胡子 1
玄观 玄观 24
杨玉环 杨玉环 3
李瑁 李瑁 5
诸王 诸王 4
窦太后 窦太后 1
宫闱 宫闱 1
寿王 寿王 1
恩宠 恩宠 2
凤求凰 凤求凰 1
洛神赋 洛神赋 1
梁祝 梁祝 1
爱郎 爱郎 1
钟磬鼓 钟磬鼓 1
宛若 宛若 5
小堡 小堡 1
黄泉 黄泉 1
美的 美的 2
弓弩 弓弩 2
严格执行 严格执行 1
凌空 凌空 3
秦王 秦王 1
凤凰 凤凰 1
云霄 云霄 1
许合子 许合子 15
呼声最高 呼声最高 1
金雀 金雀 1
宣言 宣言 1
闻听 闻听 1
胡姬 胡姬 2
那婆子 那婆子 1
甘休 甘休 1
安然 安然 1
黛眉 黛眉 1
闻闻 闻闻 1
宫殿 宫殿 5
龙鳞 龙鳞 3
容一人 容一人 1
卡住 卡住 3
连弩 连弩 1
张大头 张大头 10
子正 子正 5
萧规 萧规 447
龙旗 龙旗 5
大老远 大老远 2
老王 老王 1
樊得 樊得 1
刘文办 刘文办 2
国尽忠 国尽忠 1
祖传 祖传 1
金山 金山 1
沙雁 沙雁 1
劳驾 劳驾 1
地守护 地守护 1
弓矢 弓矢 2
弓马 弓马 1
方休 方休 1
马刀 马刀 1
小盾 小盾 1
沙尘暴 沙尘暴 1
沙尘 沙尘 1
苏醒 苏醒 3
雷和 雷和 1
空旷 空旷 4
翁仲 翁仲 2
灵武 灵武 4
明悟 明悟 2
武举 武举 1
王公 王公 1
连正眼 连正眼 1
小鼎 小鼎 4
白如银 白如银 1
灵官殿 灵官殿 1
才智 才智 1
慧眼识珠 慧眼识珠 1
紫红色 紫红色 1
巨锤 巨锤 1
紫黑色 紫黑色 1
向长安 向长安 2
老天爷 老天爷 2
鱼肠剑 鱼肠剑 1
梁为 梁为 1
松木板 松木板 1
奥妙 奥妙 1
赵孝 赵孝 1
赵礼 赵礼 1
孔圣 孔圣 1
武威 武威 5
司丞尸 司丞尸 1
解升仙 解升仙 1
小白脸 小白脸 1
李靖 李靖 3
小丘 小丘 1
能传送 能传送 1
李长源 李长源 1
宫里来 宫里来 1
安息香 安息香 1
和林邑 和林邑 1
龙武 龙武 9
陈玄礼 陈玄礼 138
白白 白白 1
左骁卫 左骁卫 1
千牛卫 千牛卫 3
成虞部 成虞部 1
安禄山 安禄山 10
平卢军 平卢军 1
厉鬼 厉鬼 1
